Ground truth pos_x: 11.680000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.360000, Ground truth v_y: 6.000000, Measurement pos_x: 11.351398 , Measurement pos_y: 23.429180, Estimated pos_x: 11.410074, Estimated v_x: 1.187892, Estimated pos_y: 23.356745, Estimated v_y: 3.339275, Kalman gain1: 0.621832, Kalman gain2: 0.617314, Time taken for Kalman Filter: 1.066000 seconds
Ground truth pos_x: 11.710000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.420000, Ground truth v_y: 6.000000, Measurement pos_x: 11.174356 , Measurement pos_y: 23.723927, Estimated pos_x: 11.378079, Estimated v_x: 1.144341, Estimated pos_y: 23.414490, Estimated v_y: 3.375642, Kalman gain1: 0.621832, Kalman gain2: 0.617268, Time taken for Kalman Filter: 1.086000 seconds
Ground truth pos_x: 11.740000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.480000, Ground truth v_y: 6.000000, Measurement pos_x: 11.086765 , Measurement pos_y: 23.519912, Estimated pos_x: 11.255725, Estimated v_x: 1.011535, Estimated pos_y: 23.620209, Estimated v_y: 3.634054, Kalman gain1: 0.621832, Kalman gain2: 0.617222, Time taken for Kalman Filter: 1.104000 seconds
Ground truth pos_x: 11.770000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.540000, Ground truth v_y: 6.000000, Measurement pos_x: 11.212742 , Measurement pos_y: 23.206698, Estimated pos_x: 11.154486, Estimated v_x: 0.901014, Estimated pos_y: 23.571314, Estimated v_y: 3.505171, Kalman gain1: 0.621832, Kalman gain2: 0.617177, Time taken for Kalman Filter: 1.124000 seconds
Ground truth pos_x: 11.800000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.600000, Ground truth v_y: 6.000000, Measurement pos_x: 11.565685 , Measurement pos_y: 23.650348, Estimated pos_x: 11.194119, Estimated v_x: 0.931406, Estimated pos_y: 23.357035, Estimated v_y: 3.125833, Kalman gain1: 0.621831, Kalman gain2: 0.617133, Time taken for Kalman Filter: 1.143000 seconds
Ground truth pos_x: 11.830000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.660000, Ground truth v_y: 6.000000, Measurement pos_x: 11.325488 , Measurement pos_y: 23.585135, Estimated pos_x: 11.428693, Estimated v_x: 1.154948, Estimated pos_y: 23.551784, Estimated v_y: 3.376100, Kalman gain1: 0.621831, Kalman gain2: 0.617090, Time taken for Kalman Filter: 1.163000 seconds
Ground truth pos_x: 11.860000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.720000, Ground truth v_y: 6.000000, Measurement pos_x: 12.035585 , Measurement pos_y: 24.327512, Estimated pos_x: 11.368885, Estimated v_x: 1.084139, Estimated pos_y: 23.585289, Estimated v_y: 3.375706, Kalman gain1: 0.621831, Kalman gain2: 0.617048, Time taken for Kalman Filter: 1.182000 seconds
Ground truth pos_x: 11.890000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.780000, Ground truth v_y: 6.000000, Measurement pos_x: 11.852863 , Measurement pos_y: 23.856161, Estimated pos_x: 11.787559, Estimated v_x: 1.488809, Estimated pos_y: 24.061095, Estimated v_y: 4.060638, Kalman gain1: 0.621830, Kalman gain2: 0.617007, Time taken for Kalman Filter: 1.200000 seconds
Ground truth pos_x: 11.920000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.840000, Ground truth v_y: 6.000000, Measurement pos_x: 11.898344 , Measurement pos_y: 24.151845, Estimated pos_x: 11.833797, Estimated v_x: 1.519913, Estimated pos_y: 23.948487, Estimated v_y: 3.821810, Kalman gain1: 0.621830, Kalman gain2: 0.616966, Time taken for Kalman Filter: 1.218000 seconds
Ground truth pos_x: 11.950000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.900000, Ground truth v_y: 6.000000, Measurement pos_x: 11.844143 , Measurement pos_y: 24.139074, Estimated pos_x: 11.879682, Estimated v_x: 1.550357, Estimated pos_y: 24.089756, Estimated v_y: 3.983406, Kalman gain1: 0.621830, Kalman gain2: 0.616927, Time taken for Kalman Filter: 1.238000 seconds
Ground truth pos_x: 11.980000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.960000, Ground truth v_y: 6.000000, Measurement pos_x: 11.897523 , Measurement pos_y: 23.609648, Estimated pos_x: 11.863446, Estimated v_x: 1.518870, Estimated pos_y: 24.135508, Estimated v_y: 3.992742, Kalman gain1: 0.621830, Kalman gain2: 0.616888, Time taken for Kalman Filter: 1.256000 seconds
Ground truth pos_x: 12.010000, Ground truth v_x: 3.000000, Ground truth pos_y: 24.020000, Ground truth v_y: 6.000000, Measurement pos_x: 11.722094 , Measurement pos_y: 23.929235, Estimated pos_x: 11.890380, Estimated v_x: 1.530521, Estimated pos_y: 23.822330, Estimated v_y: 3.432448, Kalman gain1: 0.621830, Kalman gain2: 0.616850, Time taken for Kalman Filter: 1.275000 seconds
